Area Code,Area Name,Ave,Sum
1,北海道,2.25213607,2850398
2,青森県,2.572006531,781319
3,岩手県,2.451050373,747188
4,宮城県,2.312749301,1255284
5,秋田県,2.502581018,636549
6,山形県,2.369089349,671118
7,福島県,2.30911933,1051790
8,茨城県,2.377380729,1700355
9,栃木県,2.296027695,1110933
10,群馬県,2.208947541,1059895
11,埼玉県,2.362114078,4159938
12,千葉県,2.409112646,3622084
13,東京都,2.403701333,6906918
14,神奈川県,2.389189817,5160165
15,新潟県,2.284644563,1302798
16,富山県,2.622729399,700990
17,石川県,2.578888805,716160
18,福井県,2.634202277,513435
19,山梨県,2.488760713,503541
20,長野県,2.442753307,1283469
21,岐阜県,2.662839509,1365110
22,静岡県,2.530296966,2307603
23,愛知県,2.561806137,4576349
24,三重県,2.617312492,1180811
25,滋賀県,2.546597087,886692
26,京都府,2.478029323,1473632
27,大阪府,2.363500708,4681998
28,兵庫県,2.467564247,3271282
29,奈良県,2.538160338,867962
30,和歌山県,2.598259871,610695
31,鳥取県,2.3730596,320878
32,島根県,2.322819619,391934
33,岡山県,2.397910173,1092344
34,広島県,2.389588608,1624244
35,山口県,2.512687601,847326
36,徳島県,2.399620908,432966
37,香川県,2.366873859,558613
38,愛媛県,2.367457722,778922
39,高知県,2.432469005,399066
40,福岡県,2.235162915,2537348
41,佐賀県,2.322414907,452922
42,長崎県,2.265973356,727314
43,熊本県,2.279735804,956087
44,大分県,2.339117742,649035
45,宮崎県,2.225000479,580981
46,鹿児島県,2.358945549,900669
47,沖縄県,2.122128442,612737